version,platform_version,policy_version_id,rounds,era,n,declared_wire_pct,declared_sim_pct,formed_pct,kickoff_coverage_pct,partners_per_commit,jointact_per_ep,tags_per_ep_mean,tags_per_ep_median,share_2plus_tags_pct,win_pct,win_ci_lo,win_ci_hi,rank4_pct,rank4_ci_lo,rank4_ci_hi,score_ratio_median,sr_ci_lo,sr_ci_hi,verdict
v44_baseline,43,1af79595,4499-4513,pre-GV15,172,14.5,n/a (pre-GV15),3.5,n/a (feature introduced in v46),n/a (pact-aim commit line not tracked in this era),0.843,0.703,0,16.9,7.0,4.0,11.8,24.4,18.6,31.4,1.0,0.857,1.333,"KEEP (n=172, no baseline to compare; confirmatory n>=150 read vs v41 also KEEP, see CONFIRM150.md)"
v44_gv15_control,43,1af79595,4515-4516,"post-GV15 (same v44 build, control cohort)",25,12.0,12.0,4.0,n/a (feature introduced in v46),n/a (declare rate too low / not reported),0,n/a,n/a,n/a,0.0,0,13.3,24.0,11.5,43.4,0.5,0.5,2.4,"Same-era control only, not a rollback decision (n=25, below n>=100 floor)"
v45,44,9212b6c5,4517-4526,post-GV15,106,95.3,12.3,4.7,n/a (feature introduced in v46),1.861,0,1.547,1.0,40.6,4.7,2.0,10.6,21.7,14.9,30.5,0.762,0.667,1.267,KEEP v45 (neither rollback trigger fired at n=106)
v46,47,cac8830e,4527-4534,post-GV15 (GameVersion 60 from round 4529),96,95.8,18.8,9.4,8.3,2.02,0.031,1.833,2.0,51.0,1.0,0.2,5.7,30.2,21.9,40.0,1.0,0.8,2.0,"KEEP v46 (cohort closed at n=96, neither rollback trigger fired; superseded by v47 on the ladder, not by a rollback)"
v47,48,34a345fe,4535-4536,post-GV15 (GameVersion 60),12,100.0,16.7,0.0,8.3,3.067,0,3.58,n/a (not reported),66.7,8.3,1.5,35.4,50.0,25.4,74.6,4.667,1.5,320.0,"NOT READABLE as a settled result (n=12, far below the n>=40 target); informational point estimate only"
v48,49,0ba93edb,4540-4542,post-GV15 (GameVersion 60),37,100.0,100.0,29.7,91.9,4.131,0,2.0,1.0,45.9,10.8,4.3,24.7,32.4,19.6,48.5,1.333,0.667,2.667,"Interim positive signal, NOT FINAL (n=37, 3 short of the n>=40 target; neither rollback trigger fired)"
v49,50,8ba5403c,4545-4603,GV15+GV16 mixed,717,95.8,95.8,27.6,83.1,4.09,0.033,1.643,1,43.0,3.6,2.5,5.3,23.6,20.6,26.8,1.0,1.0,1.0,"KEEP (no trigger); clamp never armed"
v49_pre_gv16,50,8ba5403c,4545-4551,GV15,80,96.2,96.2,23.8,86.2,4.13,0.025,1.65,1.0,43.8,3.8,1.3,10.5,23.8,15.8,34.1,1.0,0.667,1.333,"KEEP (no trigger); clamp never armed"
v49_post_gv16,50,8ba5403c,4552-4603,GV16,637,95.8,95.8,28.1,82.7,4.08,0.035,1.642,1,42.9,3.6,2.4,5.4,23.5,20.4,27.0,1.0,1.0,1.0,"KEEP (no trigger); clamp never armed"
v50,51,31e09e78,4607-4610,GV16,47,100.0,100.0,29.8,85.1,4.031,0.043,1.574,1,38.3,2.1,0.4,11.1,23.4,13.6,37.2,1.0,0.667,1.333,"INTERIM (n=47, meets the n>=40 read floor but marked interim per brief: freshly-armed mechanism, single read, follow-up leak still open). Neither rollback trigger fired vs v49_post_gv16. FIRST version where the final-four clamp reaches the wire: the ""[monet] final4:"" phase line fires in 11/47 episodes (100% of the 8/47 where the sparse ""Teams still alive"" awareness line independently confirms alive_teams<=4-while-alive; phase line is the fuller ground truth per SHIPPED.md). A ladder-maintenance-resend leak (uncapped loot/supply_run detourMax>150 installed after the phase line) reproduces in 3/11 phase-reached episodes, with real (~708-tick) exposure in 1 of the 3 and near-zero (0-21 tick) exposure in the other 2 (episode ended right after). F4-outcome metrics have not moved yet at this n: engaged-first share 35.7% (5/14) vs v49_post_gv16 35.9%; P(F2|F4) 18.2% (2/11) vs v49_post_gv16 41.7% and vs rivals 50-60% (n=11, wide CI, not distinguishable from noise)."
